Ortogrupo,AcMNPV,AgMNPV,ChchNPV,HearNPV,MabrNPV,EpapGV,ClanGV,PiraGV,SfGV,CuniNPV
Ac43,43,116,35,37,135,-,-,-,-,-
Ac26,26,122,23,26,147,-,-,-,-,-
DBP,25,121,22,25,148,75,66,66,77,-
P26,136,25,63,22,151,-,-,-,-,-
Epap10,-,-,-,-,-,10,-,-,-,-
Epap40,-,-,-,-,-,40,39,31,29,-
Epap48,-,-,-,-,-,48,22,42,40,-
Epap49,-,-,-,-,-,49,-,-,-,-
Epap62,-,-,-,-,-,62,54,55,64,-
Epap71,-,-,-,-,-,71,63,63,-,-
Epap95,-,-,-,-,-,95,84,84,101,-
Spfr7,-,-,-,-,-,7,4,4,7,-
Spfr25,-,-,-,-,-,37,32,28,25,-
Spfr26,-,-,-,-,-,-,-,29,26,-
Spfr28,-,-,-,-,-,-,-,-,28,-
Spfr45,-,-,-,-,-,-,45,47,45,-
dUTPase,-,-,-,-,-,13,-,-,50,-
p13,-,-,-,-,-,40,24,38,36,-
Chtb-2a,-,-,-,-,-,73,64,64,74,-
Chtb-2b,-,-,-,-,-,73,64,64,75,-
Spfr80,-,-,-,-,-,-,-,-,80,-
BRO-n,-,-,-,-,-,-,-,83,-,-
BRO-f,-,-,-,-,-,-,108,106,98,-
Spfr100,-,-,-,-,-,-,-,-,100,-
Spfr101,-,-,-,-,-,95,84,84,100,-
Spfr112,-,-,-,-,-,103,94,92,112,-
Spfr127,112-113,-,-,-,-,-,-,-,127,-
Enhancin-1,-,-,-,-,-,-,-,-,131,-
Enhancin-2,-,-,-,-,-,-,-,-,137,-
Spfr143,-,-,-,-,-,-,-,-,143,-
Spfr145,-,-,-,-,-,-,-,-,145,-
Spfr151,-,-,-,-,-,-,-,-,151,-
Pira54,-,-,-,-,-,-,-,54,-,-
Clan17,-,-,-,-,-,-,17,18,-,-
Clan18,-,-,-,-,-,26,18,19,15,-
Clan20,-,-,-,-,-,-,20,-,-,-
Clan27,-,-,-,-,-,-,27,35,-,-
Clan37,-,-,-,-,-,-,37,-,139,-
Clan42,-,-,-,-,-,-,42,-,-,-
Clan79,-,-,-,-,-,-,79,-,-,-
Clan93,-,-,-,-,-,-,93,-,-,-
